record_id,source_type,language,vehicle_context,text,actual_label,model_prediction,sensitive_probability,annotator_lex,annotator_maya,annotator_rafael,sensitivity_category,edge_case_flag,gold_reason
R011,ocr_text,en-US,supervised_fsd,My date of birth is 4/6/1986,SENSITIVE,SENSITIVE,0.87,SENSITIVE,SENSITIVE,SENSITIVE,PII,N,Contains pii requiring restricted handling.
R012,ocr_text,en-US,supervised_fsd,"My child's school address is 1036 Almaden Street, Santa Clara, CA",SENSITIVE,SENSITIVE,0.87,SENSITIVE,SENSITIVE,SENSITIVE,PII,N,Contains pii requiring restricted handling.
R013,user_message_preview,en-US,supervised_fsd,My medical diagnosis is PTSD,SENSITIVE,SENSITIVE,0.92,SENSITIVE,NON_SENSITIVE,SENSITIVE,HEALTH,Y,Contains health requiring restricted handling.
R014,user_message_preview,en-US,manual_driving,He threatened to bomb the place,SENSITIVE,SENSITIVE,0.82,SENSITIVE,SENSITIVE,SENSITIVE,VIOLENCE_THREAT,Y,Contains violence threat requiring restricted handling.
R015,user_message_preview,en-US,parked,Read the message with the nude photo description,SENSITIVE,NON_SENSITIVE,0.33,SENSITIVE,SENSITIVE,SENSITIVE,EXPLICIT,N,Contains explicit requiring restricted handling.
R016,ocr_text,en-US,charging,The license plate is DJF694,SENSITIVE,SENSITIVE,0.96,SENSITIVE,SENSITIVE,SENSITIVE,PII,N,Contains pii requiring restricted handling.
R017,ocr_text,en-US,manual_driving,My routing number is 695295870,SENSITIVE,SENSITIVE,0.97,SENSITIVE,SENSITIVE,NON_SENSITIVE,PII,N,Contains pii requiring restricted handling.
R018,ocr_text,en-US,parked,My routing number is 966040317,SENSITIVE,SENSITIVE,0.86,SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,PII,Y,Contains pii requiring restricted handling.
R019,user_message_preview,en-US,charging,The PIN is 185430,SENSITIVE,SENSITIVE,0.78,SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,CREDENTIAL,N,Contains credential requiring restricted handling.
R020,user_message_preview,en-US,charging,The Wi-Fi password is TeslaRoad22,SENSITIVE,SENSITIVE,0.86,SENSITIVE,SENSITIVE,SENSITIVE,CREDENTIAL,N,Contains credential requiring restricted handling.
R021,voice_transcript,en-US,parked,"My child's school address is 5863 El Camino Street, Mountain View, CA",SENSITIVE,SENSITIVE,0.89,NON_SENSITIVE,SENSITIVE,SENSITIVE,PII,N,Contains pii requiring restricted handling.
R022,voice_transcript,en-US,manual_driving,The license plate is ZTB458,SENSITIVE,SENSITIVE,0.87,SENSITIVE,SENSITIVE,SENSITIVE,PII,N,Contains pii requiring restricted handling.
R023,user_message_preview,en-US,parked,My phone number is (777) 423-8619,SENSITIVE,SENSITIVE,0.97,SENSITIVE,SENSITIVE,NON_SENSITIVE,PII,N,Contains pii requiring restricted handling.
R024,ocr_text,en-US,manual_driving,My insurance member ID is 477600762,SENSITIVE,SENSITIVE,0.98,SENSITIVE,SENSITIVE,SENSITIVE,HEALTH,N,Contains health requiring restricted handling.
R025,voice_transcript,en-US,supervised_fsd,The safe combination is 294243,SENSITIVE,SENSITIVE,0.96,SENSITIVE,SENSITIVE,SENSITIVE,CREDENTIAL,N,Contains credential requiring restricted handling.
R026,user_message_preview,en-US,supervised_fsd,My date of birth is 2/24/1972,SENSITIVE,SENSITIVE,0.78,SENSITIVE,SENSITIVE,SENSITIVE,PII,N,Contains pii requiring restricted handling.
R027,voice_transcript,en-US,parked,The gate code is 990949,SENSITIVE,SENSITIVE,0.95,SENSITIVE,SENSITIVE,SENSITIVE,CREDENTIAL,N,Contains credential requiring restricted handling.
R028,ocr_text,en-US,charging,My credit card number is 4111 1111 1111 8025 and CVV is 412,SENSITIVE,SENSITIVE,0.88,SENSITIVE,SENSITIVE,SENSITIVE,PII,Y,Contains pii requiring restricted handling.
R029,user_message_preview,en-US,supervised_fsd,Share my exact medical record ID 169976144,SENSITIVE,SENSITIVE,0.83,SENSITIVE,NON_SENSITIVE,SENSITIVE,HEALTH,Y,Contains health requiring restricted handling.
R030,ocr_text,en-US,supervised_fsd,Share my exact medical record ID 891994345,SENSITIVE,SENSITIVE,0.91,SENSITIVE,SENSITIVE,SENSITIVE,HEALTH,N,Contains health requiring restricted handling.
R031,voice_transcript,en-US,supervised_fsd,"My child's school address is 6661 Homestead Ave, Mountain View, CA",SENSITIVE,SENSITIVE,0.93,SENSITIVE,SENSITIVE,SENSITIVE,PII,N,Contains pii requiring restricted handling.
R032,user_message_preview,en-US,manual_driving,Read the message with the nude photo description,SENSITIVE,SENSITIVE,0.97,SENSITIVE,NON_SENSITIVE,SENSITIVE,EXPLICIT,Y,Contains explicit requiring restricted handling.
R033,user_message_preview,en-US,manual_driving,"My home address is 7416 Homestead Street, Fremont, CA",SENSITIVE,SENSITIVE,0.93,NON_SENSITIVE,SENSITIVE,SENSITIVE,PII,N,Contains pii requiring restricted handling.
R034,user_message_preview,en-US,supervised_fsd,"Post this: here is her address 2461 Bascom Blvd, San Jose, CA",SENSITIVE,SENSITIVE,0.75,SENSITIVE,SENSITIVE,SENSITIVE,PII,N,Contains pii requiring restricted handling.
R035,user_message_preview,en-US,manual_driving,My date of birth is 7/19/2003,SENSITIVE,SENSITIVE,0.77,NON_SENSITIVE,SENSITIVE,SENSITIVE,PII,N,Contains pii requiring restricted handling.
R036,user_message_preview,en-US,charging,My date of birth is 7/28/1990,SENSITIVE,SENSITIVE,0.81,SENSITIVE,SENSITIVE,SENSITIVE,PII,N,Contains pii requiring restricted handling.
R037,voice_transcript,en-US,manual_driving,My medical diagnosis is PTSD,SENSITIVE,SENSITIVE,0.76,SENSITIVE,SENSITIVE,SENSITIVE,HEALTH,N,Contains health requiring restricted handling.
R038,user_message_preview,en-US,supervised_fsd,My credit card number is 4111 1111 1111 7511 and CVV is 966,SENSITIVE,SENSITIVE,0.76,SENSITIVE,SENSITIVE,SENSITIVE,PII,N,Contains pii requiring restricted handling.
R039,user_message_preview,en-US,parked,The gate code is 48549,SENSITIVE,SENSITIVE,0.93,SENSITIVE,SENSITIVE,NON_SENSITIVE,CREDENTIAL,N,Contains credential requiring restricted handling.
R040,user_message_preview,en-US,manual_driving,"Post this: here is her address 1727 El Camino Rd, San Jose, CA",SENSITIVE,SENSITIVE,0.87,SENSITIVE,SENSITIVE,NON_SENSITIVE,PII,N,Contains pii requiring restricted handling.
R041,ocr_text,en-US,manual_driving,Text Dave: do not tell anyone the password TeslaRoad22,SENSITIVE,SENSITIVE,0.89,SENSITIVE,NON_SENSITIVE,SENSITIVE,CREDENTIAL,N,Contains credential requiring restricted handling.
R042,user_message_preview,en-US,charging,My routing number is 864668242,SENSITIVE,SENSITIVE,0.87,SENSITIVE,SENSITIVE,SENSITIVE,PII,N,Contains pii requiring restricted handling.
R043,user_message_preview,en-US,supervised_fsd,The gate code is 100704,SENSITIVE,SENSITIVE,0.85,SENSITIVE,SENSITIVE,SENSITIVE,CREDENTIAL,N,Contains credential requiring restricted handling.
R044,user_message_preview,en-US,supervised_fsd,He threatened to bomb the place,SENSITIVE,SENSITIVE,0.91,NON_SENSITIVE,SENSITIVE,NON_SENSITIVE,VIOLENCE_THREAT,Y,Contains violence threat requiring restricted handling.
R045,ocr_text,en-US,charging,My phone number is (206) 385-3347,SENSITIVE,SENSITIVE,0.77,SENSITIVE,SENSITIVE,SENSITIVE,PII,N,Contains pii requiring restricted handling.
R046,voice_transcript,en-US,charging,He threatened to bomb the place,SENSITIVE,SENSITIVE,0.87,SENSITIVE,SENSITIVE,NON_SENSITIVE,VIOLENCE_THREAT,Y,Contains violence threat requiring restricted handling.
R047,voice_transcript,en-US,manual_driving,"Tell him I know where he lives at 793 Bascom Ave, Mountain View, CA",SENSITIVE,SENSITIVE,0.89,SENSITIVE,SENSITIVE,NON_SENSITIVE,PII,Y,Contains pii requiring restricted handling.
R048,user_message_preview,en-US,charging,"My child's school address is 1351 Homestead Ave, Santa Clara, CA",SENSITIVE,SENSITIVE,0.81,SENSITIVE,SENSITIVE,NON_SENSITIVE,PII,Y,Contains pii requiring restricted handling.
R049,ocr_text,en-US,charging,Find coffee on the route,NON_SENSITIVE,NON_SENSITIVE,0.16,NON_SENSITIVE,NON_SENSITIVE,SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R050,user_message_preview,en-US,supervised_fsd,Show traffic on the map,NON_SENSITIVE,NON_SENSITIVE,0.24,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R051,user_message_preview,en-US,charging,Call Dave,NON_SENSITIVE,NON_SENSITIVE,0.12,NON_SENSITIVE,SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R052,user_message_preview,en-US,charging,Lower fan speed,NON_SENSITIVE,NON_SENSITIVE,0.37,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R053,ocr_text,en-US,parked,Navigate to the nearest Walmart,NON_SENSITIVE,NON_SENSITIVE,0.26,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R054,voice_transcript,en-US,parked,What time does the vet clinic close?,NON_SENSITIVE,NON_SENSITIVE,0.19,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R055,user_message_preview,en-US,manual_driving,Remind me to pick up groceries,NON_SENSITIVE,NON_SENSITIVE,0.3,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R056,voice_transcript,en-US,parked,Remind me to pick up groceries,NON_SENSITIVE,SENSITIVE,0.7,SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R057,ocr_text,en-US,parked,Cancel navigation,NON_SENSITIVE,NON_SENSITIVE,0.32,SENSITIVE,SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R058,voice_transcript,en-US,charging,Resume music,NON_SENSITIVE,NON_SENSITIVE,0.06,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R059,ocr_text,en-US,charging,Cancel navigation,NON_SENSITIVE,NON_SENSITIVE,0.32,NON_SENSITIVE,NON_SENSITIVE,SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R060,voice_transcript,en-US,supervised_fsd,Avoid highways,NON_SENSITIVE,NON_SENSITIVE,0.34,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R061,ocr_text,en-US,parked,Read my last text aloud,NON_SENSITIVE,NON_SENSITIVE,0.39,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R062,user_message_preview,en-US,parked,What is the weather in Mountain View?,NON_SENSITIVE,NON_SENSITIVE,0.05,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R063,ocr_text,en-US,charging,Lower fan speed,NON_SENSITIVE,SENSITIVE,0.53,NON_SENSITIVE,SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R064,voice_transcript,en-US,manual_driving,Play the next podcast episode,NON_SENSITIVE,NON_SENSITIVE,0.21,NON_SENSITIVE,SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R065,voice_transcript,en-US,charging,Play the next podcast episode,NON_SENSITIVE,NON_SENSITIVE,0.22,NON_SENSITIVE,NON_SENSITIVE,SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R066,user_message_preview,en-US,charging,Navigate to the nearest O'Reilly Auto Parts,NON_SENSITIVE,NON_SENSITIVE,0.29,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R067,user_message_preview,en-US,parked,What is the weather in Santa Clara?,NON_SENSITIVE,NON_SENSITIVE,0.16,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R068,user_message_preview,en-US,charging,Show traffic on the map,NON_SENSITIVE,SENSITIVE,0.68,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R069,user_message_preview,en-US,charging,Open the glovebox,NON_SENSITIVE,NON_SENSITIVE,0.34,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R070,ocr_text,en-US,supervised_fsd,Find a car wash nearby,NON_SENSITIVE,SENSITIVE,0.54,NON_SENSITIVE,SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R071,voice_transcript,en-US,parked,What time does Santa Clara University close?,NON_SENSITIVE,NON_SENSITIVE,0.33,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R072,user_message_preview,en-US,charging,Remind me to pick up groceries,NON_SENSITIVE,SENSITIVE,0.67,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R073,ocr_text,en-US,supervised_fsd,Set destination to home,NON_SENSITIVE,NON_SENSITIVE,0.1,NON_SENSITIVE,SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R074,user_message_preview,en-US,manual_driving,What time does Whole Foods close?,NON_SENSITIVE,NON_SENSITIVE,0.43,SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R075,ocr_text,en-US,supervised_fsd,Find a charger near Sunnyvale,NON_SENSITIVE,SENSITIVE,0.63,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R076,voice_transcript,en-US,supervised_fsd,What time does Whole Foods close?,NON_SENSITIVE,NON_SENSITIVE,0.36,SENSITIVE,NON_SENSITIVE,SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R077,voice_transcript,en-US,manual_driving,Find coffee on the route,NON_SENSITIVE,NON_SENSITIVE,0.33,NON_SENSITIVE,NON_SENSITIVE,SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R078,voice_transcript,en-US,charging,Lower fan speed,NON_SENSITIVE,NON_SENSITIVE,0.1,NON_SENSITIVE,SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R079,ocr_text,en-US,manual_driving,Turn on defrost,NON_SENSITIVE,NON_SENSITIVE,0.08,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R080,voice_transcript,en-US,supervised_fsd,Navigate to the airport,NON_SENSITIVE,NON_SENSITIVE,0.36,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R081,ocr_text,en-US,manual_driving,Open the glovebox,NON_SENSITIVE,NON_SENSITIVE,0.14,NON_SENSITIVE,SENSITIVE,SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R082,user_message_preview,en-US,supervised_fsd,Turn on seat heater,NON_SENSITIVE,NON_SENSITIVE,0.4,NON_SENSITIVE,SENSITIVE,SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R083,ocr_text,en-US,charging,Enable dog mode,NON_SENSITIVE,NON_SENSITIVE,0.35,NON_SENSITIVE,NON_SENSITIVE,SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R084,ocr_text,en-US,manual_driving,Start driving to work,NON_SENSITIVE,NON_SENSITIVE,0.04,SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R085,ocr_text,en-US,manual_driving,Show traffic on the map,NON_SENSITIVE,SENSITIVE,0.7,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R086,ocr_text,en-US,parked,Read my last text aloud,NON_SENSITIVE,NON_SENSITIVE,0.14,NON_SENSITIVE,SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R087,voice_transcript,en-US,supervised_fsd,Take me to Whole Foods,NON_SENSITIVE,NON_SENSITIVE,0.06,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R088,user_message_preview,en-US,manual_driving,Send Dave a message: I will be there in ten minutes,NON_SENSITIVE,NON_SENSITIVE,0.33,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R089,user_message_preview,en-US,charging,Open the glovebox,NON_SENSITIVE,NON_SENSITIVE,0.27,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R090,voice_transcript,en-US,supervised_fsd,Enable dog mode,NON_SENSITIVE,NON_SENSITIVE,0.06,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R091,user_message_preview,en-US,manual_driving,Take me to Santa Clara University,NON_SENSITIVE,NON_SENSITIVE,0.22,NON_SENSITIVE,NON_SENSITIVE,SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R092,ocr_text,en-US,manual_driving,Lower fan speed,NON_SENSITIVE,NON_SENSITIVE,0.18,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R093,ocr_text,en-US,manual_driving,Find coffee on the route,NON_SENSITIVE,NON_SENSITIVE,0.24,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R094,user_message_preview,en-US,parked,Show traffic on the map,NON_SENSITIVE,SENSITIVE,0.64,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R095,ocr_text,en-US,supervised_fsd,Resume music,NON_SENSITIVE,NON_SENSITIVE,0.18,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R096,voice_transcript,en-US,supervised_fsd,Navigate to the airport,NON_SENSITIVE,NON_SENSITIVE,0.14,NON_SENSITIVE,NON_SENSITIVE,SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R097,user_message_preview,en-US,supervised_fsd,Navigate to the airport,NON_SENSITIVE,NON_SENSITIVE,0.07,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R098,ocr_text,en-US,manual_driving,Navigate to the airport,NON_SENSITIVE,NON_SENSITIVE,0.27,NON_SENSITIVE,NON_SENSITIVE,SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R099,voice_transcript,en-US,supervised_fsd,What time does San Jose City Hall close?,NON_SENSITIVE,NON_SENSITIVE,0.33,NON_SENSITIVE,NON_SENSITIVE,NON_SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
R100,user_message_preview,en-US,charging,Set destination to home,NON_SENSITIVE,NON_SENSITIVE,0.13,NON_SENSITIVE,NON_SENSITIVE,SENSITIVE,NONE,N,Routine vehicle assistant or navigation command with no restricted content.
